SSTID CF Level size Creation Deletion key_start key_end
279 0 0 36726619 1681270783 1681270792 1170 29994045
282 0 0 36726609 1681270784 1681270792 1999 29999382
284 0 0 36732282 1681270784 1681270793 190 29998716
287 0 0 36709416 1681270784 1681270793 4557 29998152
275 0 2 67265169 1681270783 1681270849 116 727198
280 0 2 67266183 1681270784 1681270850 727302 1455135
285 0 2 35474285 1681270784 1681270814 1455312 1838545
289 0 0 36732249 1681270784 1681270800 7692 29997683
292 0 0 36726537 1681270784 1681270800 6853 29999911
294 0 0 36720930 1681270784 1681270801 1011 29995886
290 0 1 134520959 1681270784 1681270811 190 3050285
295 0 1 46235464 1681270785 1681270811 3050324 3644054
296 0 1 76531406 1681270785 1681270811 3644120 6387648
297 0 1 134521493 1681270786 1681270811 6388831 8589440
298 0 1 46439187 1681270786 1681270811 8589736 9173327
299 0 1 134521930 1681270787 1681270794 9173421 10912561
300 0 1 134525076 1681270787 1681270795 10912652 12651461
301 0 1 134526068 1681270788 1681270797 12651482 14395585
302 0 1 134522510 1681270789 1681270811 14395644 16385780
303 0 1 66382359 1681270789 1681270811 16385954 17396485
304 0 1 134526635 1681270790 1681270798 17396701 19441349
305 0 1 48547801 1681270790 1681270799 19441432 20185458
306 0 1 134522288 1681270791 1681270811 20185547 22245207
307 0 1 46864489 1681270791 1681270811 22245208 22948847
308 0 1 134524671 1681270792 1681270811 22949155 24994739
309 0 1 45495161 1681270792 1681270811 24994811 25697666
310 0 1 114475824 1681270793 1681270811 25697865 27856965
311 0 1 112707968 1681270793 1681270811 27857185 29999842
313 0 0 36732251 1681270794 1681270802 2331 29994597
315 0 0 36732105 1681270794 1681270802 6187 29999059
318 0 0 36732170 1681270794 1681270802 6349 29998837
321 0 0 36726391 1681270795 1681270803 697 29993514
323 0 0 36720847 1681270795 1681270803 6438 29987559
326 0 0 36726523 1681270795 1681270804 22751 29999543
328 0 0 36732324 1681270795 1681270804 8332 29999387
316 0 2 67265476 1681270794 1681270874 9173363 9765502
320 0 2 67266330 1681270795 1681270897 9765623 10355195
325 0 2 66552421 1681270795 1681270796 10355216 10998054
330 0 0 36732177 1681270795 1681270804 4849 29996383
333 0 0 36732133 1681270795 1681270805 3340 29999780
335 0 0 36732264 1681270796 1681270806 11710 29999704
338 0 0 36726635 1681270796 1681270806 10376 29985313
340 0 0 36732262 1681270796 1681270807 2749 29993863
343 0 0 36732177 1681270796 1681270808 9563 29990119
345 0 0 36726545 1681270796 1681270808 4187 29989834
348 0 0 36732369 1681270797 1681270809 5326 29997523
331 0 2 67265066 1681270795 1681270888 10355216 10945556
